Starting collecting data from https://romy.pythonanywhere.com/check/

--- Checking position 1 ---
https://romy.pythonanywhere.com/check/           ^
POS: 7 | CHAR: H | TIME: 1.980172832806905
POS: 7 | CHAR: I | TIME: 1.9785189926624298
POS: 7 | CHAR: J | TIME: 1.9415863454341888
POS: 7 | CHAR: K | TIME: 1.9796560605367024
POS: 7 | CHAR: L | TIME: 1.9458933217184884
POS: 7 | CHAR: M | TIME: 1.9847857654094696
POS: 7 | CHAR: N | TIME: 1.9684083461761475
POS: 7 | CHAR: O | TIME: 1.9689322412014008
POS: 7 | CHAR: P | TIME: 1.9535971879959106
POS: 7 | CHAR: Q | TIME: 1.9762838908604212
POS: 7 | CHAR: R | TIME: 2.0170624256134033
POS: 7 | CHAR: S | TIME: 1.9622871279716492
POS: 7 | CHAR: T | TIME: 1.9844352006912231
POS: 7 | CHAR: U | TIME: 2.0251646723066057
POS: 7 | CHAR: V | TIME: 1.9845848679542542
POS: 7 | CHAR: W | TIME: 1.9693908989429474
POS: 7 | CHAR: X | TIME: 1.9242932498455048
POS: 7 | CHAR: Y | TIME: 1.9891517843518938
POS: 7 | CHAR: Z | TIME: 1.9344927668571472
POS: 7 | CHAR: 1 | TIME: 1.9307551085948944
POS: 7 | CHAR: 2 | TIME: 1.7879745960235596
POS: 7 | CHAR: 3 | TIME: 1.9520019590854645
POS: 7 | CHAR: 4 | TIME: 1.8124031679970878
POS: 7 | CHAR: 5 | TIME: 1.9554806053638458
POS: 7 | CHAR: 6 | TIME: 1.9858232140541077
POS: 7 | CHAR: 7 | TIME: 1.8580232560634613
POS: 7 | CHAR: 8 | TIME: 2.040266434351603
POS: 7 | CHAR: 9 | TIME: 1.9856286942958832
POS: 7 | CHAR: 0 | TIME: 1.965153992176056

--- Checking position 11 ---
https://romy.pythonanywhere.com/check/ ^^^^^^^^^^^
POS: 11 | CHAR: a | TIME: 2.621010700861613
POS: 11 | CHAR: b | TIME: 2.5759387697492326
POS: 11 | CHAR: c | TIME: 2.574444430215018
POS: 11 | CHAR: d | TIME: 2.5631410479545593
POS: 11 | CHAR: e | TIME: 2.565518230199814
POS: 11 | CHAR: f | TIME: 2.5579411387443542
POS: 11 | CHAR: g | TIME: 2.6013293663660684
POS: 11 | CHAR: h | TIME: 2.5324929654598236
POS: 11 | CHAR: i | TIME: 2.5497561395168304
POS: 11 | CHAR: j | TIME: 2.5347252190113068
POS: 11 | CHAR: k | TIME: 2.428465574979782
POS: 11 | CHAR: l | TIME: 2.561489373445511
POS: 11 | CHAR: m | TIME: 2.3982367515563965
POS: 11 | CHAR: n | TIME: 2.5119842886924744
POS: 11 | CHAR: o | TIME: 2.57378617922465
POS: 11 | CHAR: p | TIME: 2.5717031359672546
POS: 11 | CHAR: q | TIME: 2.5657219886779785
POS: 11 | CHAR: r | TIME: 2.6042897701263428
POS: 11 | CHAR: s | TIME: 2.5500355064868927
POS: 11 | CHAR: t | TIME: 2.5697224140167236
POS: 11 | CHAR: u | TIME: 2.5377164483070374
POS: 11 | CHAR: v | TIME: 2.5974198409489224
POS: 11 | CHAR: w | TIME: 2.5944632291793823
POS: 11 | CHAR: x | TIME: 2.5371675193309784
POS: 11 | CHAR: y | TIME: 2.5856161594390867
POS: 11 | CHAR: z | TIME: 2.4246214628219604
POS: 11 | CHAR: A | TIME: 2.5189441442489624
POS: 11 | CHAR: B | TIME: 2.5116997957229614
POS: 11 | CHAR: C | TIME: 2.571223258972168
POS: 11 | CHAR: D | TIME: 2.5370384625026157
POS: 11 | CHAR: E | TIME: 2.5669288635253906
POS: 11 | CHAR: F | TIME: 2.5511802434921265
POS: 11 | CHAR: G | TIME: 2.630316287279129
POS: 11 | CHAR: H | TIME: 2.5704392790794373
POS: 11 | CHAR: I | TIME: 2.6014700333277383
POS: 11 | CHAR: J | TIME: 2.518949406487601
POS: 11 | CHAR: K | TIME: 2.6240365505218506
POS: 11 | CHAR: L | TIME: 2.5576776266098022
POS: 11 | CHAR: M | TIME: 2.6065897260393416
POS: 11 | CHAR: N | TIME: 2.5964811188834056
POS: 11 | CHAR: O | TIME: 2.591510432107108
POS: 11 | CHAR: P | TIME: 2.5986878474553428
POS: 11 | CHAR: Q | TIME: 2.5082798898220062
